Time,Category,number
13,BAD CHECKS,1
23,ARSON,4
09,KIDNAPPING,1
05,NON-CRIMINAL,49
22,VANDALISM,150
18,ASSAULT,146
18,"SEX OFFENSES, NON FORCIBLE",1
16,OTHER OFFENSES,268
03,NON-CRIMINAL,56
17,EXTORTION,2
14,RECOVERED VEHICLE,5
21,TRESPASS,14
06,FORGERY/COUNTERFEITING,1
20,LIQUOR LAWS,1
16,EXTORTION,1
11,"SEX OFFENSES, FORCIBLE",7
04,BURGLARY,63
09,NON-CRIMINAL,195
11,OTHER OFFENSES,165
19,ASSAULT,184
05,VEHICLE THEFT,16
00,BAD CHECKS,1
23,DISORDERLY CONDUCT,4
06,DRUG/NARCOTIC,11
02,BURGLARY,61
02,RECOVERED VEHICLE,3
19,RECOVERED VEHICLE,8
23,ROBBERY,64
05,LOITERING,1
23,LARCENY/THEFT,460
04,ARSON,4
03,DISORDERLY CONDUCT,3
11,SECONDARY CODES,21
07,VEHICLE THEFT,25
14,FORGERY/COUNTERFEITING,7
13,SUICIDE,1
18,WEAPON LAWS,23
01,"SEX OFFENSES, FORCIBLE",8
11,KIDNAPPING,2
20,DRIVING UNDER THE INFLUENCE,5
21,OTHER OFFENSES,189
12,BURGLARY,67
12,FORGERY/COUNTERFEITING,21
04,ROBBERY,19
23,DRUG/NARCOTIC,38
20,TREA,1
10,EMBEZZLEMENT,2
15,VEHICLE THEFT,58
20,DISORDERLY CONDUCT,7
23,SUSPICIOUS OCC,51
08,MISSING PERSON,72
18,LIQUOR LAWS,3
03,EXTORTION,1
06,SUSPICIOUS OCC,28
14,WEAPON LAWS,22
18,DRIVING UNDER THE INFLUENCE,3
07,ASSAULT,102
17,LARCENY/THEFT,684
15,SUSPICIOUS OCC,80
18,WARRANTS,86
07,NON-CRIMINAL,117
10,RECOVERED VEHICLE,9
20,ROBBERY,47
09,"SEX OFFENSES, NON FORCIBLE",1
01,SECONDARY CODES,15
14,EXTORTION,1
22,PROSTITUTION,4
12,STOLEN PROPERTY,9
11,DISORDERLY CONDUCT,5
22,ASSAULT,184
10,ROBBERY,22
01,KIDNAPPING,1
05,FRAUD,4
00,LARCENY/THEFT,355
23,BURGLARY,52
17,DRIVING UNDER THE INFLUENCE,4
16,SUSPICIOUS OCC,78
14,DRUNKENNESS,3
06,FRAUD,10
07,ROBBERY,13
00,VEHICLE THEFT,64
19,DRUG/NARCOTIC,52
23,FRAUD,27
09,SUSPICIOUS OCC,58
09,OTHER OFFENSES,205
17,NON-CRIMINAL,283
08,PROSTITUTION,1
18,RUNAWAY,1
16,VANDALISM,94
18,FAMILY OFFENSES,1
13,TRESPASS,15
21,KIDNAPPING,4
15,ARSON,1
02,DRUG/NARCOTIC,8
04,LIQUOR LAWS,1
11,NON-CRIMINAL,246
15,BAD CHECKS,2
23,RECOVERED VEHICLE,4
09,VANDALISM,69
04,DRIVING UNDER THE INFLUENCE,1
08,DRUNKENNESS,1
10,"SEX OFFENSES, FORCIBLE",4
07,VANDALISM,55
11,LARCENY/THEFT,477
00,ARSON,1
10,WEAPON LAWS,12
19,SUSPICIOUS OCC,76
12,BRIBERY,1
02,WARRANTS,26
13,STOLEN PROPERTY,11
09,STOLEN PROPERTY,9
23,TRESPASS,11
07,SUSPICIOUS OCC,41
03,DRUNKENNESS,5
17,"SEX OFFENSES, FORCIBLE",18
11,DRUG/NARCOTIC,43
20,TRESPASS,11
04,WARRANTS,18
09,ROBBERY,17
08,STOLEN PROPERTY,7
18,EXTORTION,1
12,ARSON,1
22,ROBBERY,55
09,ASSAULT,107
19,WEAPON LAWS,28
11,VANDALISM,71
06,"SEX OFFENSES, FORCIBLE",4
14,DRIVING UNDER THE INFLUENCE,1
21,BURGLARY,69
14,DRUG/NARCOTIC,54
13,FRAUD,34
21,DISORDERLY CONDUCT,4
13,FORGERY/COUNTERFEITING,10
19,DISORDERLY CONDUCT,4
22,FORGERY/COUNTERFEITING,2
12,DISORDERLY CONDUCT,1
02,WEAPON LAWS,6
13,OTHER OFFENSES,243
01,MISSING PERSON,17
09,LIQUOR LAWS,1
15,WEAPON LAWS,38
10,FORGERY/COUNTERFEITING,6
15,NON-CRIMINAL,298
13,DRIVING UNDER THE INFLUENCE,2
18,BURGLARY,105
20,EXTORTION,1
16,FRAUD,48
08,ROBBERY,16
18,VANDALISM,159
23,SECONDARY CODES,19
14,BURGLARY,55
12,LARCENY/THEFT,549
07,LARCENY/THEFT,157
08,EMBEZZLEMENT,3
20,DRUNKENNESS,6
13,"SEX OFFENSES, NON FORCIBLE",1
17,TRESPASS,10
12,TRESPASS,26
22,STOLEN PROPERTY,6
07,FRAUD,13
19,NON-CRIMINAL,191
00,OTHER OFFENSES,297
23,DRUNKENNESS,12
18,VEHICLE THEFT,138
04,WEAPON LAWS,8
20,DRUG/NARCOTIC,27
20,VEHICLE THEFT,125
01,DRUNKENNESS,8
17,FRAUD,40
10,FAMILY OFFENSES,1
18,SUSPICIOUS OCC,55
17,RUNAWAY,1
09,RECOVERED VEHICLE,12
20,WARRANTS,61
08,TRESPASS,22
11,ARSON,1
01,BRIBERY,1
22,LARCENY/THEFT,489
08,LOITERING,2
15,ROBBERY,39
19,"SEX OFFENSES, FORCIBLE",6
21,SUICIDE,2
13,"SEX OFFENSES, FORCIBLE",9
07,WARRANTS,60
15,RECOVERED VEHICLE,3
01,ROBBERY,47
06,DISORDERLY CONDUCT,26
11,WEAPON LAWS,18
10,OTHER OFFENSES,204
20,EMBEZZLEMENT,2
03,KIDNAPPING,3
03,MISSING PERSON,10
22,DRUG/NARCOTIC,43
16,"SEX OFFENSES, FORCIBLE",10
15,EMBEZZLEMENT,1
10,ASSAULT,122
22,NON-CRIMINAL,192
13,NON-CRIMINAL,225
23,VANDALISM,136
01,PROSTITUTION,3
14,KIDNAPPING,4
13,SECONDARY CODES,16
09,"SEX OFFENSES, FORCIBLE",5
22,SECONDARY CODES,18
20,ARSON,5
12,DRUG/NARCOTIC,44
18,LARCENY/THEFT,771
07,"SEX OFFENSES, FORCIBLE",3
23,"SEX OFFENSES, NON FORCIBLE",1
04,DRUNKENNESS,2
05,OTHER OFFENSES,57
17,VEHICLE THEFT,104
02,ROBBERY,57
10,MISSING PERSON,45
11,STOLEN PROPERTY,7
04,SUSPICIOUS OCC,21
08,DRUG/NARCOTIC,37
19,OTHER OFFENSES,238
10,DRIVING UNDER THE INFLUENCE,1
22,DISORDERLY CONDUCT,3
02,OTHER OFFENSES,99
22,"SEX OFFENSES, FORCIBLE",16
09,RUNAWAY,4
06,ASSAULT,64
05,ARSON,5
07,SECONDARY CODES,17
10,PROSTITUTION,8
17,KIDNAPPING,5
11,RECOVERED VEHICLE,9
17,ROBBERY,46
15,LARCENY/THEFT,550
00,FAMILY OFFENSES,2
11,FORGERY/COUNTERFEITING,4
20,FORGERY/COUNTERFEITING,3
07,BRIBERY,1
14,VEHICLE THEFT,69
07,MISSING PERSON,32
20,ASSAULT,162
11,FRAUD,27
17,FORGERY/COUNTERFEITING,8
13,LIQUOR LAWS,1
19,STOLEN PROPERTY,8
17,SUICIDE,1
11,BURGLARY,48
13,ASSAULT,156
02,MISSING PERSON,13
03,PROSTITUTION,1
11,TRESPASS,22
19,RUNAWAY,2
20,NON-CRIMINAL,179
05,WARRANTS,16
06,BURGLARY,34
00,DRUG/NARCOTIC,29
15,PORNOGRAPHY/OBSCENE MAT,1
18,"SEX OFFENSES, FORCIBLE",14
23,LOITERING,1
05,LARCENY/THEFT,73
09,WEAPON LAWS,8
20,STOLEN PROPERTY,17
08,ARSON,4
14,ASSAULT,159
00,WARRANTS,53
23,RUNAWAY,1
13,ROBBERY,18
11,WARRANTS,69
07,DISORDERLY CONDUCT,39
09,FORGERY/COUNTERFEITING,9
13,DRUNKENNESS,5
01,FRAUD,12
19,EMBEZZLEMENT,2
11,MISSING PERSON,38
16,BURGLARY,78
22,FRAUD,11
05,SUSPICIOUS OCC,19
06,DRIVING UNDER THE INFLUENCE,2
15,FRAUD,60
03,SECONDARY CODES,9
13,DRUG/NARCOTIC,56
11,DRIVING UNDER THE INFLUENCE,1
18,SECONDARY CODES,25
15,WARRANTS,76
10,BURGLARY,54
13,VEHICLE THEFT,42
17,FAMILY OFFENSES,1
14,ARSON,2
18,KIDNAPPING,5
21,ASSAULT,219
13,SUSPICIOUS OCC,80
13,VANDALISM,65
15,VANDALISM,106
19,ROBBERY,38
00,DISORDERLY CONDUCT,8
22,LIQUOR LAWS,2
17,EMBEZZLEMENT,3
16,DRUG/NARCOTIC,74
11,VEHICLE THEFT,44
05,BURGLARY,52
07,STOLEN PROPERTY,7
06,MISSING PERSON,10
10,SUSPICIOUS OCC,68
13,WEAPON LAWS,17
13,DISORDERLY CONDUCT,2
22,WEAPON LAWS,30
03,BURGLARY,54
23,"SEX OFFENSES, FORCIBLE",13
08,ASSAULT,93
17,DISORDERLY CONDUCT,2
00,BURGLARY,54
05,ROBBERY,12
19,SUICIDE,2
17,ASSAULT,210
10,VANDALISM,60
12,VANDALISM,74
15,TRESPASS,33
16,ASSAULT,192
23,MISSING PERSON,37
22,DRIVING UNDER THE INFLUENCE,7
21,DRIVING UNDER THE INFLUENCE,3
07,FORGERY/COUNTERFEITING,3
21,DRUNKENNESS,8
15,BURGLARY,72
12,LIQUOR LAWS,4
01,WEAPON LAWS,22
22,VEHICLE THEFT,126
16,PROSTITUTION,11
10,FRAUD,25
02,SECONDARY CODES,9
19,SECONDARY CODES,14
00,TRESPASS,13
14,RUNAWAY,1
09,WARRANTS,58
12,NON-CRIMINAL,290
22,WARRANTS,59
01,DRIVING UNDER THE INFLUENCE,7
23,ASSAULT,170
06,DRUNKENNESS,1
05,TRESPASS,19
20,LARCENY/THEFT,687
15,OTHER OFFENSES,276
00,EMBEZZLEMENT,6
15,SECONDARY CODES,27
10,KIDNAPPING,4
04,FRAUD,3
15,FORGERY/COUNTERFEITING,6
16,SECONDARY CODES,26
02,"SEX OFFENSES, FORCIBLE",5
21,VEHICLE THEFT,106
22,GAMBLING,1
03,DRIVING UNDER THE INFLUENCE,4
00,MISSING PERSON,26
00,STOLEN PROPERTY,4
14,FRAUD,41
09,SECONDARY CODES,22
16,DISORDERLY CONDUCT,3
12,WARRANTS,56
04,VANDALISM,42
19,WARRANTS,74
03,STOLEN PROPERTY,4
21,LOITERING,1
21,VANDALISM,150
09,TRESPASS,32
01,RECOVERED VEHICLE,1
11,ROBBERY,25
00,RECOVERED VEHICLE,5
05,STOLEN PROPERTY,4
05,SECONDARY CODES,7
21,MISSING PERSON,39
22,MISSING PERSON,27
13,KIDNAPPING,4
06,ROBBERY,18
13,MISSING PERSON,67
10,RUNAWAY,3
09,EMBEZZLEMENT,1
11,BAD CHECKS,1
12,RUNAWAY,2
16,NON-CRIMINAL,242
18,OTHER OFFENSES,283
07,TREA,1
10,SUICIDE,1
05,ASSAULT,28
20,FRAUD,29
03,OTHER OFFENSES,65
22,KIDNAPPING,2
13,RECOVERED VEHICLE,11
16,STOLEN PROPERTY,15
22,FAMILY OFFENSES,1
21,ARSON,5
18,SUICIDE,1
18,ROBBERY,43
04,LARCENY/THEFT,60
21,BAD CHECKS,1
20,VANDALISM,148
12,OTHER OFFENSES,332
12,SECONDARY CODES,21
04,TRESPASS,7
17,STOLEN PROPERTY,18
19,FORGERY/COUNTERFEITING,1
01,STOLEN PROPERTY,4
19,FRAUD,35
02,LARCENY/THEFT,169
19,PROSTITUTION,11
15,DRUG/NARCOTIC,70
06,RUNAWAY,1
14,VANDALISM,111
16,WARRANTS,75
04,EMBEZZLEMENT,1
11,EMBEZZLEMENT,4
17,WEAPON LAWS,26
18,PROSTITUTION,8
17,ARSON,3
16,LIQUOR LAWS,1
04,NON-CRIMINAL,39
12,"SEX OFFENSES, FORCIBLE",5
05,VANDALISM,37
01,BURGLARY,41
17,BAD CHECKS,1
04,SECONDARY CODES,6
06,ARSON,1
02,NON-CRIMINAL,74
14,EMBEZZLEMENT,1
09,FRAUD,26
22,DRUNKENNESS,7
22,RUNAWAY,1
03,FRAUD,4
20,MISSING PERSON,51
03,"SEX OFFENSES, FORCIBLE",8
23,OTHER OFFENSES,205
07,WEAPON LAWS,9
23,FORGERY/COUNTERFEITING,3
03,TRESPASS,7
14,NON-CRIMINAL,243
01,ASSAULT,148
08,FORGERY/COUNTERFEITING,4
19,TRESPASS,17
02,SUSPICIOUS OCC,37
08,FRAUD,27
16,DRUNKENNESS,9
04,"SEX OFFENSES, FORCIBLE",1
15,SUICIDE,3
02,VEHICLE THEFT,19
13,LARCENY/THEFT,503
17,WARRANTS,90
11,FAMILY OFFENSES,1
07,DRIVING UNDER THE INFLUENCE,1
22,BRIBERY,1
01,ARSON,4
08,VANDALISM,72
18,NON-CRIMINAL,229
02,VANDALISM,58
11,DRUNKENNESS,2
17,OTHER OFFENSES,298
12,SUSPICIOUS OCC,86
17,SUSPICIOUS OCC,81
03,BAD CHECKS,1
07,DRUG/NARCOTIC,35
00,FRAUD,68
07,LOITERING,1
14,DISORDERLY CONDUCT,6
03,ARSON,1
16,ROBBERY,44
11,EXTORTION,1
21,FRAUD,14
08,SUSPICIOUS OCC,61
12,FRAUD,73
10,LARCENY/THEFT,422
11,LIQUOR LAWS,1
14,LOITERING,2
06,NON-CRIMINAL,96
23,WARRANTS,55
21,ROBBERY,53
19,ARSON,3
00,SUICIDE,1
06,WARRANTS,20
13,ARSON,2
04,OTHER OFFENSES,65
04,RECOVERED VEHICLE,5
21,RECOVERED VEHICLE,9
11,LOITERING,1
18,FRAUD,33
10,VEHICLE THEFT,43
03,WEAPON LAWS,13
01,LARCENY/THEFT,284
00,KIDNAPPING,2
