PdDistrict,Catogory,number
TARAVAL,SUSPICIOUS OCC,126
MISSION,EMBEZZLEMENT,2
TENDERLOIN,ARSON,3
INGLESIDE,WARRANTS,67
PARK,OTHER OFFENSES,251
MISSION,SECONDARY CODES,63
RICHMOND,DRUNKENNESS,4
TARAVAL,ARSON,4
TENDERLOIN,ROBBERY,87
BAYVIEW,NON-CRIMINAL,295
CENTRAL,RECOVERED VEHICLE,5
TARAVAL,FRAUD,56
NORTHERN,DRIVING UNDER THE INFLUENCE,4
MISSION,"SEX OFFENSES, NON FORCIBLE",1
CENTRAL,WEAPON LAWS,44
RICHMOND,EXTORTION,1
TARAVAL,DRUNKENNESS,10
PARK,WEAPON LAWS,20
INGLESIDE,SUSPICIOUS OCC,135
PARK,SUSPICIOUS OCC,79
CENTRAL,SUICIDE,3
MISSION,GAMBLING,1
TARAVAL,ASSAULT,275
RICHMOND,SUICIDE,1
TARAVAL,PROSTITUTION,7
PARK,BAD CHECKS,1
SOUTHERN,KIDNAPPING,6
NORTHERN,PROSTITUTION,40
CENTRAL,RUNAWAY,2
TARAVAL,DRIVING UNDER THE INFLUENCE,7
BAYVIEW,EXTORTION,1
BAYVIEW,ASSAULT,464
TARAVAL,BURGLARY,195
INGLESIDE,FRAUD,24
PARK,MISSING PERSON,162
PARK,"SEX OFFENSES, FORCIBLE",15
NORTHERN,WARRANTS,128
CENTRAL,"SEX OFFENSES, FORCIBLE",23
TARAVAL,OTHER OFFENSES,449
BAYVIEW,VEHICLE THEFT,275
TENDERLOIN,WARRANTS,149
INGLESIDE,BRIBERY,1
TENDERLOIN,DRUNKENNESS,8
TENDERLOIN,VEHICLE THEFT,38
CENTRAL,DRUNKENNESS,12
TENDERLOIN,DRIVING UNDER THE INFLUENCE,4
CENTRAL,DRIVING UNDER THE INFLUENCE,6
BAYVIEW,DRUNKENNESS,6
TARAVAL,VEHICLE THEFT,143
BAYVIEW,DRIVING UNDER THE INFLUENCE,13
SOUTHERN,DRUNKENNESS,21
TENDERLOIN,EXTORTION,2
PARK,DRIVING UNDER THE INFLUENCE,6
TENDERLOIN,FRAUD,29
NORTHERN,OTHER OFFENSES,541
NORTHERN,FAMILY OFFENSES,1
TARAVAL,"SEX OFFENSES, NON FORCIBLE",4
PARK,NON-CRIMINAL,231
INGLESIDE,SUICIDE,4
PARK,BURGLARY,94
MISSION,FAMILY OFFENSES,2
PARK,ASSAULT,139
BAYVIEW,RUNAWAY,7
CENTRAL,MISSING PERSON,74
MISSION,EXTORTION,3
TARAVAL,TRESPASS,31
CENTRAL,ASSAULT,288
NORTHERN,DISORDERLY CONDUCT,32
MISSION,ASSAULT,579
TARAVAL,STOLEN PROPERTY,12
RICHMOND,"SEX OFFENSES, NON FORCIBLE",1
TENDERLOIN,STOLEN PROPERTY,11
SOUTHERN,LARCENY/THEFT,2229
PARK,PROSTITUTION,1
PARK,STOLEN PROPERTY,5
INGLESIDE,FORGERY/COUNTERFEITING,6
TENDERLOIN,WEAPON LAWS,22
TENDERLOIN,NON-CRIMINAL,264
INGLESIDE,KIDNAPPING,8
INGLESIDE,VANDALISM,170
BAYVIEW,WEAPON LAWS,100
TENDERLOIN,KIDNAPPING,4
CENTRAL,ROBBERY,103
TARAVAL,BAD CHECKS,2
SOUTHERN,BAD CHECKS,2
PARK,SECONDARY CODES,19
NORTHERN,DRUG/NARCOTIC,144
PARK,ROBBERY,33
RICHMOND,ARSON,3
NORTHERN,VEHICLE THEFT,193
NORTHERN,MISSING PERSON,107
SOUTHERN,DRUG/NARCOTIC,221
SOUTHERN,VEHICLE THEFT,143
BAYVIEW,"SEX OFFENSES, FORCIBLE",24
INGLESIDE,DRUG/NARCOTIC,53
RICHMOND,SUSPICIOUS OCC,97
CENTRAL,DRUG/NARCOTIC,44
CENTRAL,TRESPASS,41
PARK,RECOVERED VEHICLE,9
MISSION,TRESPASS,127
TARAVAL,"SEX OFFENSES, FORCIBLE",18
SOUTHERN,LIQUOR LAWS,5
INGLESIDE,PORNOGRAPHY/OBSCENE MAT,1
TENDERLOIN,LIQUOR LAWS,3
CENTRAL,LARCENY/THEFT,1632
SOUTHERN,WARRANTS,269
TARAVAL,FORGERY/COUNTERFEITING,10
MISSION,WARRANTS,224
TARAVAL,DISORDERLY CONDUCT,2
PARK,SUICIDE,2
NORTHERN,LOITERING,3
PARK,FORGERY/COUNTERFEITING,2
NORTHERN,ASSAULT,410
RICHMOND,DRUG/NARCOTIC,9
INGLESIDE,STOLEN PROPERTY,8
TARAVAL,BRIBERY,3
CENTRAL,LIQUOR LAWS,2
SOUTHERN,FORGERY/COUNTERFEITING,24
CENTRAL,EMBEZZLEMENT,5
TENDERLOIN,BRIBERY,1
INGLESIDE,DISORDERLY CONDUCT,4
RICHMOND,VEHICLE THEFT,140
NORTHERN,KIDNAPPING,8
CENTRAL,BRIBERY,1
BAYVIEW,SECONDARY CODES,76
NORTHERN,ARSON,7
BAYVIEW,FRAUD,28
NORTHERN,LARCENY/THEFT,1875
MISSION,DISORDERLY CONDUCT,54
MISSION,ARSON,16
INGLESIDE,OTHER OFFENSES,438
TARAVAL,SECONDARY CODES,81
SOUTHERN,WEAPON LAWS,94
SOUTHERN,SUSPICIOUS OCC,255
RICHMOND,STOLEN PROPERTY,9
TENDERLOIN,SECONDARY CODES,21
MISSION,SUSPICIOUS OCC,290
PARK,TRESPASS,20
NORTHERN,TRESPASS,65
TARAVAL,EMBEZZLEMENT,3
CENTRAL,SUSPICIOUS OCC,124
SOUTHERN,FRAUD,85
INGLESIDE,TRESPASS,27
TARAVAL,NON-CRIMINAL,316
RICHMOND,FORGERY/COUNTERFEITING,8
MISSION,KIDNAPPING,9
BAYVIEW,RECOVERED VEHICLE,44
RICHMOND,KIDNAPPING,2
MISSION,FORGERY/COUNTERFEITING,16
TARAVAL,MISSING PERSON,115
TENDERLOIN,RECOVERED VEHICLE,11
NORTHERN,SUICIDE,7
RICHMOND,ROBBERY,33
INGLESIDE,RUNAWAY,2
TARAVAL,RECOVERED VEHICLE,17
NORTHERN,VANDALISM,336
BAYVIEW,MISSING PERSON,89
SOUTHERN,VANDALISM,380
TENDERLOIN,EMBEZZLEMENT,6
MISSION,VANDALISM,369
RICHMOND,RECOVERED VEHICLE,10
SOUTHERN,DRIVING UNDER THE INFLUENCE,9
CENTRAL,ARSON,11
TARAVAL,SUICIDE,3
MISSION,BRIBERY,1
MISSION,DRIVING UNDER THE INFLUENCE,12
INGLESIDE,LARCENY/THEFT,414
INGLESIDE,TREA,1
NORTHERN,RECOVERED VEHICLE,13
RICHMOND,OTHER OFFENSES,245
TARAVAL,RUNAWAY,11
CENTRAL,DISORDERLY CONDUCT,10
SOUTHERN,BURGLARY,171
TARAVAL,KIDNAPPING,6
TARAVAL,WARRANTS,64
NORTHERN,NON-CRIMINAL,489
TENDERLOIN,FORGERY/COUNTERFEITING,8
NORTHERN,BURGLARY,193
CENTRAL,FRAUD,93
CENTRAL,BURGLARY,177
INGLESIDE,ASSAULT,374
BAYVIEW,LARCENY/THEFT,548
BAYVIEW,WARRANTS,99
TENDERLOIN,OTHER OFFENSES,263
PARK,RUNAWAY,4
